Startup,URL,Business Description,Funding Stage, Total funding (US$),Venture Space,Opportunity Space 1,Founded,Country,Maturity
Remrise,https://getremrise.com/,"Service to move users off medicated sleep aids, using a combination of traditional herbal supplements and improvements to sleep hygiene via data analysis with an app.",Seed,"8,200,000",Sleep,Sleeping pills alternatives,2018,USA,Distant
The Nue Co,https://www.thenueco.com/products/sleep-drops,"The Nue Co is engaged in manufacturing and marketing of probiotic and prebiotic supplements. Products offered include vitamin C supplement, energy supplement, digestive health supplements, plant protein, milk protein, probiotic and prebiotic supplements, etc. The company sells its products online.",Series A,10500000,Sleep,Sleeping pills alternatives,2017,England,Emerging
Scentee,https://scentee-machina.com/,"Japanese start-up Scentee is developing a “smart” diffuser that can be controlled by a smartphone so users can change the scent according to their mood via an app—but, even more interestingly, users can set diffusers to activate at certain times, so, for example, your bedside diffuser can start your day with energizing aromas and end your day with your favorite sleep aroma. ",Undisclosed,,Sleep,Sleep Environment,2011,Japan,Existing
Vasayo,https://vasayo.com/,"Vasayo is engaged in developing and manufacturing a range of liposomal nutritional supplements. The liposomal layers helps active nutrients to pass through the harsh environment of digestive system intact for better absorption. The company has a portfolio of 7 nutritional supplements which include microlife core essentials (multivitamin and trace mineral complex), microlife neuro (healthy brain function), microlife energy, microlife renew (enhanced mobility and flexibility within joints), and microlife sleep. The company is looking to develop more products in the near future.",Seed,"2,300,000",Sleep,Sleeping pills alternatives,2016,USA,Emerging
Oura,https://ouraring.com/,"Oura provides a wearable ring that enables the user to learn how lifestyle affects the quality of sleep and performance. The ring analyzes the quality of rest and recovery by measuring heart rate (optically), respiration rate, body temperature, and movement. It identifies deep sleep, REM sleep, light sleep, and periods of wakefulness. This information is used to create nightly sleep profiles and to gauge the quality of your sleep. ",Series A,20000000,Sleep,Sleep Environment,2013,Finland,Existing
LumosTech,https://lumos.tech/,LumosTech is working in the field of developing consumer solutions sleeping disorders. The company's product is a smart sleeping mask that treats jet lags. The mask uses low-intensity light flashes to adjust the body’s internal clock and restore user's sleep cycle naturally.,Seed,1000000,Sleep,Sleep Environment,2013,USA,Existing
Sleepio,https://www.sleepio.com/,"Sleepio, a product of Big Health, is a six-week online program claims to be proven to help people with long-term sleep problems to sleep well without using any pills. Sleepio is based on cognitive behavioral therapy and supported by peer-reviewed research. A virtual sleep expert, The Prof, guides the user through six weekly sessions which are automatically personalized to each user based on data collected from wearable devices.",Undisclosed,,Sleep,Sleep Environment,2010,USA,Existing
Food for Sleep,https://www.foodforsleep.com/,"Food for Sleep provides energy beverages. Their beverages contain amino acid, cherry juice, antioxidants, whey peptides, rice starch, maltodextrin, citric acid, vitamins, and other nutrients. The drinks are meant for energy, sleep, and recovery.",Undisclosed,,Sleep,Sleeping pills alternatives,2012,USA,Existing
Dreem,https://dreem.com/en,"Dreem offers Dreem2, a wearable device developed by a company called Rythm for tracking and improving the sleep quality of the user. The device developed has an EEG sensor that can monitor the brain activity of the user. This data can be visualized using a companion mobile application and can be used to measure and monitor the sleep quality of the user. The device also uses a non-invasive sound stimulation technology that influences the user's brain to remain in deep sleep for a longer time.",Series B,60000000,Sleep,Sleep Environment,2014,France,Existing
Learninig to Sleep,https://www.learningtosleep.se/,Learning To Sleep offers a mobile-based 5-week sleep program which can be completed by the patient alone or in consultation with a therapist. The company's program is an evidence-based Cognitive Behaviour Therapy (CBT) intended to change the behaviour of people. The company claims that studies revealed that 9 out of 10 can overcome sleep problems using the company's program. ,Seed,1500000,Sleep,Sleeping pills alternatives,2011,Sweden,Existing
